"p_{T} GeV/c","(Raa(Ne))/(Raa(O))","StatError","SystError"
0.175,0.9849077877278655,0.0009403785941359356,0.002535218601581712
0.225,0.9851194385660158,0.0009271871564594048,0.0024899809521120647
0.275,0.9853317746008348,0.0009139531365507176,0.002444897284371958
0.325,0.9855802713366615,0.0008984655273387137,0.002392516746734705
0.375,0.9858329834646232,0.0008827153650574872,0.0023396673673840153
0.425,0.9860915330060382,0.0008666015673054906,0.0022860335437693796
0.475,0.9863473474041786,0.0008506584107612072,0.0022333997203870613
0.525,0.9866000785036426,0.0008349075864685278,0.002181821180310636
0.575,0.986852945355943,0.000819148471107922,0.002130631957110186
0.625,0.9870969386617732,0.0008039425306209285,0.0020816329371416264
0.675,0.9873335129801584,0.0007891990985181355,0.002034491762768326
0.725,0.9875701784942729,0.0007744501285157384,0.0019876935226352354
0.775,0.9877822588871694,0.0007612334234949273,0.001946062467807577
0.825,0.9879897632432145,0.0007483020055991164,0.0019056083843001293
0.875,0.9881876908252097,0.0007359675028282039,0.0018672773591257629
0.925,0.988360496293368,0.0007251986476848945,0.001834015276593701
0.975,0.9885288779670655,0.0007147055460341043,0.0018017868684816452
1.05,0.9887459949905806,0.0007011754908207168,0.0017604950567458413
1.15,0.9890227351467509,0.0006839300781029618,0.0017082944377328486
1.30,0.9893476818655202,0.000663680853563736,0.0016476137487904745
1.5,0.9896786238270924,0.0006430582972141756,0.0015864904536825003
1.70,0.989903231894728,0.0006290620586547581,0.0015453936873383771
1.9,0.9899670768514734,0.0006250836428584369,0.0015337688532090815
2.1,0.9899745029304798,0.0006246208969949785,0.0015324183528690717
2.3,0.9898249892969615,0.0006339376581162899,0.0015596743765580433
2.5,0.9895580739353786,0.0006505702994468675,0.0016086765471894473
2.7,0.9891613942019571,0.0006752894349352993,0.0016823203923603035
2.9,0.988687047411658,0.000704848908304322,0.0017716764211619179
3.1,0.9882469964780329,0.0007322716970113863,0.0018558406629726554
3.4,0.987540833204293,0.0007762789160388325,0.0019934766913993684
3.8,0.9864850094254036,0.0008420789536479097,0.002205253244954786
4.5,0.9852671334115302,0.0009179819393431491,0.00245859024586489
5.5,0.984052264524079,0.0009937015524063351,0.0027211421690526132
7,0.9836444724066078,0.0010191190968061373,0.0028115072534224753
9,0.9838224441978694,0.0010080261177452616,0.0027719302848568357
11.5,0.9843258730422013,0.0009766478882385647,0.0026611442713453553
16.5,0.9851774967799491,0.0009235686177311936,0.0024776240504823027
25,0.9873332404945196,0.0007892160798782146,0.0020345458519779704
