"p_{T} (GeV/c)","R_{AA}","StatError","SystError"
0.175,0.8470708657547148,0.000569203373870187,0.048737198329099056
0.225,0.8488715051136575,0.0005625013807980905,0.04816335006932134
0.275,0.8506864114233175,0.0005557462860294256,0.04758495505519171
0.325,0.8528211977859005,0.0005478005953271859,0.04690461702243602
0.375,0.8550042289686723,0.0005396753370457625,0.04620890378088523
0.425,0.857250335091457,0.0005313153133689863,0.045493089099041935
0.475,0.8594853655551319,0.0005229965133777036,0.044780804134392886
0.525,0.8617059413450541,0.0005147315137895225,0.04407312574981084
0.575,0.8639402209165864,0.000506415508624375,0.04336108008802242
0.625,0.8661080465334623,0.0004983468455721884,0.04267021272939922
0.675,0.8682212447469336,0.0004904815061213343,0.04199675465388651
0.725,0.8703464572346931,0.0004825714494523175,0.041319467732603775
0.775,0.8722604813072306,0.0004754474376338128,0.040709484740871715
0.825,0.874142029294583,0.0004684443020456533,0.04010985159786168
0.875,0.8759449213299547,0.0004617339244951512,0.03953528542950209
0.925,0.8775255492909947,0.0004558508154806542,0.039031552907887325
0.975,0.8790716362134564,0.00045009626846837425,0.03853882831786132
1.05,0.8810738901127981,0.0004426438645789888,0.03790072724000588
1.15,0.8836402517345772,0.0004330918475555699,0.037082849888106215
1.3,0.8866742314384171,0.0004217993525564845,0.0361159466797526
1.5,0.889787242540309,0.0004102127021066741,0.03512385684531824
1.7,0.8919133936432473,0.00040229915190498865,0.03444627079545974
1.9,0.8925197390487295,0.0004000423298008526,0.03425303373550541
2.1,0.8925903229101726,0.0003997796161441483,0.03423053926660669
2.3,0.8911715122059516,0.00040506044012651965,0.034682702021756835
2.5,0.8886505795588245,0.000414443370168762,0.035486101550588706
2.7,0.8849321616666292,0.00042828334919003925,0.03667112931640162
2.9,0.8805293055860786,0.0004446708122335085,0.03807428163967386
3.1,0.8764866900111377,0.0004597174574386382,0.03936262841556143
3.4,0.8700823309233886,0.00048355452954535773,0.041403642513828484
3.8,0.8606933632902024,0.0005185003368327763,0.04439582565736308
4.5,0.8501330039139179,0.0005578060728910334,0.04776132126347202
5.5,0.8398769435785886,0.0005959792056580199,0.051029839385312845
7,0.8364949253664624,0.0006085671025707486,0.052107659469565956
9,0.8379672371358732,0.0006030871472262475,0.05163844638559632
11.5,0.8421630347079885,0.0005874703574895465,0.05030128182614131
16.5,0.8493669062050099,0.0005606574942554233,0.04800547000702426
25,0.8682188043474687,0.0004904905893062735,0.04199753238818353
