pT	OO_PGCM	OO_PGCM_unc	NeNe_PGCM	NeNe_PGCM_unc	OO_NLEFT	OO_NLEFT_unc	NeNe_NLEFT	NeNe_NLEFT_unc	XeXe	XeXe_unc	PbPb	PbPb_unc
10.000000000000002	0.8102863348070802	0.04029203441740953	0.7749836381231158	0.0452807388666559	0.807672421383398	0.040744647844085435	0.7883472462816099	0.043571774780176264	0.3186342367181229	0.059948482737711084	0.23185338336305703	0.05209408011756181
11.000000000000002	0.8245826289336174	0.03879421106204678	0.7908328351214945	0.043798228166307185	0.8220953458944449	0.039236236417214576	0.8037096195895421	0.042069353792895114	0.33868603352244797	0.06178214047683178	0.24923628525830768	0.054510972593462284
12.000000000000002	0.8378558466154337	0.03735894922579014	0.8055893659878195	0.04236142135814536	0.8354876449013803	0.03779029649335036	0.8179967476379131	0.04062008002647133	0.3582672853950241	0.06339718924949783	0.26645739730154216	0.056734474666747
13.000000000000002	0.8501059878525289	0.03598624890863955	0.8192532307220908	0.04097031844217042	0.8478493184042042	0.03640682807249279	0.8312086304267229	0.03922395348090485	0.37737799233585145	0.06479362905570915	0.2835167194927605	0.05876458633741602
14.000000000000002	0.8613330526449031	0.034676110110595015	0.8318244293243082	0.039624919418382365	0.8591803664029165	0.03508583115464181	0.8433452679559714	0.03788097415619568	0.39601815434493	0.0659714598954658	0.3004142518319627	0.06060130760546925
15.000000000000002	0.8715370409925564	0.03342853283165659	0.843302961794472	0.038325224286781256	0.8694807888975172	0.033827305739797475	0.8544066602256588	0.03659114205234387	0.41418777142225965	0.06693068176876776	0.3171499943191487	0.06224463847090678
16.	0.8807179528954886	0.03224351707182421	0.853688828132582	0.037071233047367036	0.8787505858880066	0.03263125182795984	0.8643928072357849	0.03535445716934932	0.4318868435678404	0.067671294675615	0.3337239469543185	0.06369457893372857
17.	0.8892560211643397	0.031135174932247878	0.8633528765617086	0.03589570328745301	0.8873715432138307	0.031512515885029124	0.8736826840796503	0.03419625622129824	0.4486410918543106	0.06829711974289787	0.34952847290159855	0.06499045280009291
18.	0.8971116762144525	0.030102037812729188	0.8722565141205213	0.03479522603209517	0.8953039296717058	0.0304695528878699	0.8822368520591268	0.033113902499245784	0.4644998729380187	0.06879735264559561	0.3646268069385907	0.06612816777014233
19.	0.9041847976977431	0.029140389809643175	0.8803020915474592	0.033761175773571905	0.9024472159804403	0.029498453564867133	0.8899555219998068	0.03210072450993118	0.4795880707584033	0.06914465590237609	0.37917894791288015	0.06709736936354152
20.	0.9104753856142113	0.02825023092299006	0.887489608842522	0.032793552511883095	0.9088014021400344	0.028599217916020714	0.8968386939016901	0.03115672225335475	0.4939056853154645	0.06933902951323936	0.3931848958244671	0.0678980575802906
21.	0.9161802108562759	0.02741814082844063	0.8940299291542116	0.03188224591898292	0.9145647981478411	0.027758432616429685	0.9030935129717538	0.030270304004609005	0.5075303437117041	0.06942588425531923	0.40665704944719183	0.06856924090268013
22.	0.9218183274586871	0.026608718591410174	0.900479279913651	0.031000586366551675	0.9202605179817068	0.026940715195019393	0.9092663992324864	0.029410892418087475	0.5206668153632907	0.06952500739391065	0.4196281150086305	0.0692138182395555
