pT	OO_PGCM	OO_PGCM_unc	NeNe_PGCM	NeNe_PGCM_unc	OO_NLEFT	OO_NLEFT_unc	NeNe_NLEFT	NeNe_NLEFT_unc	XeXe	XeXe_unc	PbPb	PbPb_unc	NedivOPGCM	NedivOPGCM_unc	NedivONLEFT	NedivONLEFT_unc
5.	0.7409077388034838	0.0007909957396878831	0.7045815287230498	0.0007761140649549247	0.736863428680215	0.0008736843625420931	0.7045077578411308	0.0008058192967768107	0.48157120079958116	0.0006921573156635219	0.4366259340345533	0.0006829812263604573	0.950970669925653	0.001458782301179684	0.956090003140696	0.001575120694748744
7.	0.7491113056332857	0.0007454819167429516	0.7141711131723965	0.0007329179393884555	0.7436207837350605	0.0008228633836256938	0.7106174853925423	0.0007575514792783622	0.49106017073070984	0.0006560980776235681	0.4443292263411249	0.0006453586622768848	0.9533578091825067	0.001362842313960333	0.9556181066151096	0.0014683400477015773
9.	0.7663810275716862	0.0010586228074273007	0.730077861301309	0.0010391922762083006	0.7611423241280055	0.0011672696568700847	0.729723830938447	0.0010786097397584848	0.5104806368808967	0.000940188325493363	0.46226444695358543	0.0009257236911784927	0.9526303953721225	0.0018895081562970706	0.9587219207320354	0.0020420226015566145
11.	0.7899800368413451	0.0014464519138357446	0.7521463293288134	0.0014138425516829756	0.7850367254356855	0.0015926178429420679	0.7527051461973705	0.0014686524268789913	0.5366068514915752	0.001297246958729903	0.48658019233821287	0.0012768951184971566	0.952108020775049	0.0024984430929028134	0.9588152016450296	0.002698812322959876
13.	0.8102244156661376	0.0019009363473873053	0.7775489138217219	0.001872088676800887	0.8082151018210201	0.0020939024312914833	0.7761659147151896	0.0019404597752671338	0.5621977286157707	0.0017312352107227147	0.5164552933417503	0.001716482915525619	0.9596710476596153	0.003226194417001782	0.9603457210418128	0.0034575644547969464
15.	0.8347982993695696	0.0024432109442259486	0.8048462398813573	0.0024147092929434066	0.8325875682420483	0.002704206033701362	0.8065533921723992	0.002520385836536798	0.5962725770199614	0.002274357315807829	0.544497777696715	0.002237402557183632	0.9641206031315208	0.004040906751287321	0.9687310055270001	0.004366184113692273
17.	0.8562342936366343	0.0030678936132151335	0.8246166933188628	0.003026731006300021	0.8492519940596255	0.0033542503807113544	0.8255113851340022	0.003148871841883838	0.6190956860702107	0.0028697046901177137	0.5659128967160497	0.0028206688367500288	0.9630736580480982	0.004939947548405543	0.9720452714957577	0.005337385802959171
19.	0.8742552101492069	0.003759933775108637	0.8389026845876351	0.0036870756586543374	0.8655495115373941	0.004112291450735217	0.8467826572650363	0.003874150725026726	0.6419716741495485	0.0035096244313350677	0.5868791046156692	0.003474978288562025	0.959562693877983	0.005900594058700359	0.9783179887202247	0.006452794779883253
21.	0.8840226772549051	0.004495511347345049	0.8603208771109458	0.004460589904705992	0.8869691299236111	0.004975354740048843	0.8599041960329238	0.004648919117628991	0.6468747693615765	0.00413109255725308	0.6204059889870919	0.0043209404923350014	0.9731886966773762	0.0070676752986043034	0.9694860475098854	0.007552885107510177
23.	0.9009096721221029	0.005319747922607143	0.8758766101001839	0.0052295587877257965	0.9027745324259329	0.0059087516371960636	0.8791632996141275	0.005488908413993965	0.6772440390999989	0.005048243765462979	0.6216299455105425	0.004903635265178119	0.9722135716858791	0.008164055911428103	0.9738459250192213	0.008808734293578757
