pT	OO_PGCM	OO_PGCM_unc	NeNe_PGCM	NeNe_PGCM_unc	OO_NLEFT	OO_NLEFT_unc	NeNe_NLEFT	NeNe_NLEFT_unc	XeXe	XeXe_unc	PbPb	PbPb_unc
3.6	0.7893776063617127	0.03172792154697324	0.7619978465708243	0.033102570319709534	0.7838807212781702	0.03321030101449163	0.7681827764951945	0.033013257917287486	0.42764726952071264	0.04277120191004247	0.35440049049486416	0.04185651450636574
4.4	0.7431864563550667	0.03101620960754181	0.7111120225420883	0.031129594537751326	0.7367373847943985	0.032781449727063317	0.7183323806965534	0.031440639032842777	0.34792025331546494	0.028462533835701687	0.27651680901275233	0.02638397830440481
5.2	0.7114639686490649	0.030144393574738748	0.676463519342688	0.0292270449255001	0.7044194604102276	0.03214098929122411	0.6843230801166258	0.029873890557302163	0.3004377780199431	0.017305509348539472	0.2319899781852761	0.015196930929456481
6.	0.694190088004172	0.03034411933430181	0.6577075486825816	0.028988139391438184	0.6868432549259411	0.03245140206259389	0.6658885023542157	0.029782961232717065	0.2769660700012629	0.01262905012491844	0.21056715320954691	0.010552249684636444
6.8	0.689148554999724	0.029873553081962823	0.6522437313398581	0.028231339409972467	0.6817155670876239	0.03203899538245336	0.6605160827455545	0.02912304005369315	0.2703072098837202	0.007725861179556204	0.20453704945848622	0.005662513592937873
8.4	0.6953000213486795	0.029704648651796672	0.6589056672632478	0.02820651457312473	0.6879712496614376	0.03183220615019944	0.6670676905649998	0.029048334196516423	0.278322974616157	0.009663901075048664	0.21176843449927488	0.007669507352697114
10.8	0.7252453665765988	0.02740146465920712	0.6914634136507305	0.026161999613068976	0.7184490393901053	0.029406414202911235	0.6990579803384231	0.026908926939047118	0.31985065321439	0.009191060054144606	0.2498784152863732	0.007422773306371672
13.2	0.7495239868191591	0.025881140461954777	0.7180279722539834	0.02497275497388285	0.7431922927079276	0.027752864940849498	0.7251221065503197	0.025598428638094473	0.35717857179958334	0.012200366579905642	0.2851255484974107	0.010809159436363736
16.8	0.7803159352844213	0.02355814261854372	0.7519243613244282	0.022979527919801512	0.7746136683220624	0.025254432024458096	0.7583342639966932	0.023476468684269558	0.4095057141696848	0.014262398719103397	0.33595529597597	0.013346792295134358
21.6	0.8062450311820457	0.021038895669714064	0.780641131768131	0.0205777816404632	0.8011064406298711	0.022591747889916358	0.7864327408433882	0.021015083227877485	0.4582226139947313	0.01260542851489782	0.38465492980739896	0.011916145214900198
26.4	0.8266693586648077	0.019617168764871518	0.8033750448616509	0.019395780161682308	0.8219968639649171	0.021032197973317013	0.8086519115241593	0.0197389703011287	0.49997967018398937	0.014990891140397783	0.4274369763557594	0.014770985728265518
32.	0.843997113648248	0.018520917338547327	0.8227376853093284	0.018542927416902666	0.8397347652059762	0.01980993894586458	0.8275594264427701	0.01879251787821734	0.537854778762899	0.01814307862056419	0.4670202776350044	0.018572405820430737
38.4	0.8645228874271353	0.01647607179458188	0.8457587815488153	0.01660039610301034	0.8607629358381139	0.017621078593634376	0.8500206275073175	0.016792662330966324	0.5856697505328191	0.01789278188064769	0.5179567190293093	0.018723300282781685
44.8	0.889722821411767	0.014027546248595701	0.8741515928910186	0.014281433851397574	0.8866044109964205	0.014988664936079643	0.8776941674204652	0.014402432958673383	0.6492031222074462	0.017962354282898607	0.5872838018761349	0.019405333358557986
54.4	0.9088757765057032	0.014037985574966383	0.8958297553078676	0.014819911794691554	0.9062639198450295	0.01484102621406902	0.8988013425270569	0.014764602178607311	0.7015066507923744	0.026888622734396628	0.6457812542334935	0.03016788216337507
67.2	0.9153939950690553	0.010892432380847916	0.9032157388304659	0.011148564035718511	0.9129571942055644	0.01164517102409568	0.9059912645236737	0.011224994601782945	0.7197132974188528	0.015307022112476254	0.6662907862330333	0.01695553236222125
80.	0.9328529392519082	0.007864664263631416	0.9230625242539189	0.007867180888692649	0.9308949903197725	0.008485218139744677	0.9252964600974977	0.007988577766590899	0.7712114026567584	0.00664009040045066	0.7252885687663212	0.007043093432545278
95.	0.946749213443284	0.0075013456373661525	0.9389087786079218	0.007860239364758992	0.9451822837507479	0.00797956449867554	0.9406995096208283	0.007851445228792442	0.8145697961985532	0.01464897490823347	0.7758548850997974	0.017095204725258384
112.2	0.9497883467642666	0.007605804849619147	0.9423806762050774	0.008056562987851512	0.9483076819081152	0.008061227634962087	0.9440727619314853	0.008019844975828083	0.8243387417095022	0.016089395873345014	0.7873517892160665	0.018760934965398546
130.4	0.9527760634335223	0.008632766054612273	0.9457982513380611	0.009351702658359162	0.9513803182560393	0.009080700437626432	0.9473920274073715	0.009244041654535962	0.8341316648581169	0.021491277491281435	0.7989450744539406	0.025274127295342397
152.5	0.9615226941160542	0.016628490460531498	0.9558201722550257	0.018881857999916596	0.9603852318869148	0.017177959076780103	0.9571240143169962	0.018381046695086112	0.8640745515711237	0.054709940163482074	0.8349544086759927	0.06565805935166136
207.5	0.9824762154443384	0.01996208506552416	0.9798714827076477	0.022840431194193933	0.981954832945166	0.020575719865811415	0.9804665858379744	0.022189206160424357	0.9375585574987827	0.06898102166855863	0.9239529555742598	0.08347087574448547
325.	0.940343911963805	0.05099406256454864	0.9318536167019736	0.057970550132002474	0.938648396072639	0.052490345523877546	0.9337879745549449	0.05639646030127399	0.8070753192830328	0.15826946982786816	0.77183234621371	0.1854700286154216
